InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
7276,10/18/2018 7:00:00 AM,1056095296,933046,1303786.125,0.255182575,0.00557465390625,0.130378614453125,1056095000,933046,1303786,0.2551826,0.005574654,0.1303786,1056095000,933046,1303786,0.2551826,0.005574654,0.1303786,0
9408,10/26/2018 10:00:00 PM,2142915712,4136750,2267595.25,22.6759525,22.6759525,22.6759525,2142916000,4136750,2267595,22.67595,22.67595,22.67595,2142916000,4136750,2267595,22.67595,22.67595,22.67595,0
7276,10/4/2018 6:00:00 AM,144458252288,112970640,7074769.5,1.4016998,0.0132541296875,0.70747696484375,144458300000,112970600,7074770,1.4017,0.01325413,0.707477,144458300000,112970600,7074770,1.4017,0.01325413,0.707477,0
7276,10/22/2018 12:00:00 AM,39527560,170459,41828.0234375,0.005375623828125,0.0029899806640625,0.00418280224609375,39527560,170459,41828.02,0.005375624,0.002989981,0.004182802,39527560,170459,41828.02,0.005375624,0.002989981,0.004182802,0
8084,10/22/2018 3:00:00 PM,18526740,92967,22887.7734375,0.0016775705078125,0.002899984375,0.00228877744140625,18526740,92967,22887.77,0.001677571,0.002899984,0.002288777,18526740,92967,22887.77,0.001677571,0.002899984,0.002288777,0
9045,10/29/2018 1:00:00 AM,30527220,369724,32303.732421875,0.32303732421875,0.32303732421875,0.32303732421875,30527220,369724,32303.73,0.3230373,0.3230373,0.3230373,30527220,369724,32303.73,0.3230373,0.3230373,0.3230373,0
8990,10/15/2018 11:00:00 PM,41797668,10014444,8080680.5,80.806805,80.806805,80.806805,41797670,10014440,8080681,80.80681,80.80681,80.80681,41797670,10014440,8080681,80.80681,80.80681,80.80681,0
9370,10/15/2018 7:00:00 AM,4008275200,3599790,4948494,0.9234154,0.0662834375,0.49484941875,4008275000,3599790,4948494,0.9234154,0.06628343,0.4948494,4008275000,3599790,4948494,0.9234154,0.06628343,0.4948494,0
8084,10/30/2018 5:00:00 PM,143210032,317620,151675,0.0250580453125,0.00527695390625,0.015167499609375,143210000,317620,151675,0.02505805,0.005276954,0.0151675,143210000,317620,151675,0.02505805,0.005276954,0.0151675,0
8990,10/18/2018 6:00:00 AM,4483549696,7933354,5535140,55.3514,55.3514,55.3514,4483550000,7933354,5535140,55.3514,55.3514,55.3514,4483550000,7933354,5535140,55.3514,55.3514,55.3514,0
9049,10/23/2018 3:00:00 PM,527177760,399460,650819.875,6.50819875,6.50819875,6.50819875,527177800,399460,650819.9,6.508199,6.508199,6.508199,527177800,399460,650819.9,6.508199,6.508199,6.508199,0
7276,10/16/2018 9:00:00 AM,40045968,168055,42376.00390625,0.005461333984375,0.003013866796875,0.004237600390625,40045970,168055,42376,0.005461334,0.003013867,0.004237601,40045970,168055,42376,0.005461334,0.003013867,0.004237601,0
9370,10/27/2018 3:00:00 PM,542868032,729797,574691.4375,0.103698,0.01124028671875,0.057469143359375,542868000,729797,574691.4,0.103698,0.01124029,0.05746914,542868000,729797,574691.4,0.103698,0.01124029,0.05746914,0
9408,10/27/2018 3:00:00 PM,156159776,339136,578366.1875,5.783661875,5.783661875,5.783661875,156159800,339136,578366.2,5.783662,5.783662,5.783662,156159800,339136,578366.2,5.783662,5.783662,5.783662,0
7276,10/11/2018 8:00:00 AM,23510444,107828,24878.6015625,0.0028693978515625,0.0021063224609375,0.00248786015625,23510440,107828,24878.6,0.002869398,0.002106322,0.00248786,23510440,107828,24878.6,0.002869398,0.002106322,0.00248786,0
