NodeID,Vendor,Location,IOSVersion,SystemUpTime,ResponseTime,PercentLoss,AvgResponseTime,MinResponseTime,MaxResponseTime,CPUCount,CPULoad,MemoryUsed,MemoryAvailable,PercentMemoryUsed,PercentMemoryAvailable,MachineType,IsServer,TotalMemory,SumTriggers
2018,Cisco,bgp,"12.3(26) RELEASE SOFTWARE (fc2)",9146538,6,0,1,1,6,1,8,12815952,6.946054E+07,15,85,"Cisco 2651 XM",False,8.227649E+07,2
2020,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",8019993,1,0,1,1,3,1,8,10416392,1.01884E+07,50,50,"Cisco 2621 XM",False,2.060479E+07,2
2027,Cisco,,"12.4(15)T9 RELEASE SOFTWARE (fc5)",9146823,1,0,1,1,4,1,6,67120088,9.131471E+07,42,58,"Cisco 2821",False,1.584348E+08,2
2030,Cisco,,"12.4(18b) RELEASE SOFTWARE (fc2)",9146741,2,0,1,1,9,1,0,23131724,4.290652E+08,5,95,"Cisco 2851",False,4.521969E+08,2
2040,Cisco,,"12.4(4)T1 RELEASE SOFTWARE (fc4)",8986729,4,0,2,1,8,1,5,24189344,9.667115E+07,20,80,"Cisco 1841",False,1.208605E+08,2
2042,Cisco,"St. Petersburg","15.3(3)JAB RELEASE SOFTWARE (fc1)",38746376,1,0,1,1,6,1,0,73791328,2.608438E+07,73,27,"Cisco AIRAP3502",False,9.987571E+07,2
2001,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",9146704,1,0,1,1,7,1,1,7885920,3.349542E+07,19,81,"Cisco 2621 XM",False,4.138134E+07,2
2002,Cisco,,"12.3(26) RELEASE SOFTWARE (fc2)",9146909,1,0,1,1,1,1,1,9829800,7.244665E+07,11,89,"Cisco 2651 XM",False,8.227645E+07,2
2003,Cisco,Bastogne,"15.4(3)M7 RELEASE SOFTWARE (fc1)",9146781,1,0,1,1,1,1,3,88600896,2.320459E+08,27,73,"Cisco 2911K9",False,3.206468E+08,2
2006,Cisco,"IPAM UDT","15.3(3)JAB RELEASE SOFTWARE (fc1)",21821108,-1,100,-1,-2,-2,1,100,75296456,2.490874E+07,75,25,"Cisco AIRAP1142",False,1.002052E+08,4
2008,Cisco,,"12.2(55)SE10 RELEASE SOFTWARE (fc2)",5073255.5,-1,100,-1,-2,-2,1,12,64605188,1.747167E+07,78,22,"Catalyst 37xx Stack",False,8.207686E+07,4
2013,Cisco,Tokyo,"15.1(4)M RELEASE SOFTWARE (fc1)",9147048,1,0,1,1,3,1,11,106358456,7.168584E+07,59,41,"Cisco 2811",False,1.780443E+08,2
2032,Cisco,,"8.1(1) RELEASE SOFTWARE Copyright (c) 2002-2017 by Cisco Systems Inc. Compiled 4/30/2017 23:00:00",14636588,1,0,1,1,6,2,7,7739830272,6.97226E+09,52,48,"Nexus 7004",False,1.471209E+10,4
2041,Cisco,"St. Petersburg","12.2(55)SE12 RELEASE SOFTWARE (fc2)",7792495,1,0,1,1,4,1,9,11761752,2.375195E+07,33,67,"Cisco Catalyst 2960-24TC-S",False,3.55137E+07,2
1998,Cisco,Texas,"15.3(3)M RELEASE SOFTWARE (fc2)",9146935,1,0,1,1,4,1,12,260331616,6.474388E+07,80,20,"Cisco 2901K9",False,3.250755E+08,2
2007,Cisco,"IPAM vlan 192","12.2(53)SE1 RELEASE SOFTWARE (fc2)",21820262,-1,100,-1,-2,-2,1,15,24060944,6.22152E+07,27,73,"Catalyst 356048 PS",False,8.627614E+07,4
2017,Cisco,bgp,"12.3(26) RELEASE SOFTWARE (fc2)",9146774,2,0,2,1,4,1,14,17511744,6.47647E+07,21,79,"Cisco 2651 XM",False,8.227645E+07,2
2045,net-snmp,Unknown,,715764.25,218,0,215,184,246,4,6,3304312832,5.066539E+09,39,61,"net-snmp - Linux",True,8.370852E+09,4
